id,positionClass,powerClass,words,frequent,score
881,5,skill,工業,53,3.62199
882,5,skill,Outlook,50,3.38363
883,5,skill,清潔維護,41,2.66854
884,5,skill,企劃,41,2.66854
885,5,skill,蛋糕,41,2.66854
886,5,skill,蔬食,41,2.66854
887,5,skill,清洗,34,2.11236
888,5,skill,精油,34,2.11236
889,5,skill,控制,33,2.03291
890,5,skill,資訊,33,2.03291
891,5,skill,分派,33,2.03291
892,5,skill,語言,32,1.95345
893,5,skill,軟體,31,1.874
894,5,skill,汽車,30,1.79454
895,5,skill,日文,30,1.79454
896,5,skill,Windows,26,1.47673
897,5,skill,醫務,20,1
898,5,experience,管理,3523,100
899,5,experience,高中,724,20.8961
900,5,experience,專科,707,20.4156
901,5,experience,大學,614,17.7873
902,5,experience,二度,513,14.9329
903,5,experience,採購,497,14.4807
904,5,experience,餐飲,398,11.6828
905,5,experience,美容,375,11.0328
906,5,experience,清潔,312,9.25236
907,5,experience,醫師,309,9.16757
908,5,experience,保全,277,8.2632
909,5,experience,醫療,274,8.17842
910,5,experience,銷售,220,6.6523
911,5,experience,教育,217,6.56751
912,5,experience,廚師,214,6.48273
913,5,experience,倉管,211,6.39794
914,5,experience,護理師,203,6.17185
915,5,experience,維護,141,4.41964
916,5,experience,行政,140,4.39138
917,5,experience,物料,140,4.39138
918,5,experience,資材,137,4.30659
919,5,experience,Excel,131,4.13703
920,5,experience,Word,115,3.68484
921,5,experience,規劃,113,3.62832
922,5,experience,料理,113,3.62832
923,5,experience,照顧,110,3.54353
924,5,experience,保養,108,3.48701
925,5,experience,技術,104,3.37397
926,5,experience,碩士,103,3.3457
927,5,experience,研發,100,3.26092
928,5,experience,送貨,92,3.03483
929,5,experience,醫藥,91,3.00657
930,5,experience,快遞,88,2.92178
931,5,experience,開發,88,2.92178
932,5,experience,工程,88,2.92178
933,5,experience,包裝,87,2.89352
934,5,experience,PowerPoint,66,2.30003
935,5,experience,病房,65,2.27177
936,5,experience,物理,65,2.27177
937,5,experience,行銷,64,2.24351
938,5,experience,作業員,61,2.15872
939,5,experience,醫事,61,2.15872
940,5,experience,ERP,59,2.1022
941,5,experience,烘焙,59,2.1022
942,5,experience,醫學,58,2.07394
943,5,experience,專科護理,58,2.07394
944,5,experience,顧問,58,2.07394
945,5,experience,電腦,56,2.01741
946,5,experience,車輛,55,1.98915
947,5,experience,包裝員,55,1.98915
948,5,experience,工業,53,1.93263
949,5,experience,護士,53,1.93263
950,5,experience,調度,48,1.79132
951,5,experience,藥師,47,1.76306
952,5,experience,檢驗,47,1.76306
953,5,experience,清潔維護,41,1.59349
954,5,experience,企劃,41,1.59349
955,5,experience,醫學系,41,1.59349
956,5,experience,理貨,41,1.59349
957,5,experience,蛋糕,41,1.59349
958,5,experience,蔬食,41,1.59349
959,5,experience,駕駛,36,1.45218
960,5,experience,清洗,34,1.39566
961,5,experience,精油,34,1.39566
962,5,experience,控制,33,1.3674
963,5,experience,資訊,33,1.3674
964,5,experience,分派,33,1.3674
965,5,experience,出菜,33,1.3674
966,5,experience,教學,33,1.3674
967,5,experience,婚喪,33,1.3674
968,5,experience,美療,32,1.33914
969,5,experience,SPA,32,1.33914
970,5,experience,軟體,31,1.31088
971,5,experience,Windows,26,1.16957
972,5,experience,電子,26,1.16957
973,5,experience,牙科,23,1.08478
974,5,experience,醫務,20,1
975,5,experience,基層,20,1
976,5,experience,紀錄,20,1
977,5,experience,包師,20,1
978,5,trait,責任,2395,100
979,5,trait,配合,330,13.8858
980,5,trait,熱忱,221,9.34035
981,5,trait,溝通,121,5.17018
982,5,trait,細心,80,3.4604
983,5,trait,照護,79,3.4187
984,5,trait,親切,76,3.2936
985,5,trait,耐心,72,3.12679
986,5,trait,開朗,65,2.83488
987,5,trait,挑戰,52,2.29275
988,5,trait,活潑,48,2.12595
989,5,trait,信用,44,1.95914
990,5,trait,熱情,41,1.83404
991,5,trait,耐勞,34,1.54212
992,5,trait,抗壓性,33,1.50042
993,5,trait,認真,33,1.50042
994,5,trait,責任感,30,1.37532
995,5,trait,企圖心,29,1.33361
996,5,trait,活力,26,1.20851
997,5,trait,肯學習,23,1.0834
998,5,trait,抗壓,22,1.0417
999,5,trait,清晰,21,1
1000,5,trait,熱愛,21,1
